customer_ID,prefix,first_name,last_name,generationalSuffix,suffixTitle,CompleteName,gender,email,Address1,Address2,city,state,zipcode,country,Race,Birth_Date,Marrital_Status,Number_of_Children,Mobile,SSN,Store_Membership_Card,Occupation,Annual_Income,Largest_Bill_Amount,Mean_Transaction_Amount,Transaction_ID,Last_Transaction,customer_Since,IntBankAccNo,CreditcardNo,CreditCard_type,password
01GZ1HY1MDYF1DF31PYTRFGAM7,Dr.,Ebony,Treneer,II,EdD,"Dr. Ebony Treneer II,EdD",Androgyne,,Apt 1420,218 Heffernan Hill,,,6726,United States,Panamanian,16/01/2020,Separated,4,203-994-6131,779-06-3246,Vk5vdVav,Systems Administrator I,575017,,,01GZ1HY1MSNCARAEESBGGZPVA0,6/24/21,2/11/02,GB70 IDWQ 3595 8675 9760 62,4.04E+15,visa,prRtRAjIth
01GZ1HY1MV8PBTH9D67Q7MZDB6,Mr.,Ashley,Naper,,MFA,"Mr. Ashley Naper ,MFA",Transsexual Person,,,,,California,95813,United States,Mexican,20/01/1998,Unknown,5,916-713-3157,563-53-2432,8wGrwvEN,Assistant Media Planner,792184,,,01GZ1HY1MX4APCMBGAVDB6TY8K,9/23/22,3/5/12,EE32 8732 5283 4033 8368,3.55E+15,jcb,WS5eXHK
01GZ1HY1MYD1ZF54KTWVHMFFCY,,Josias,,IV,PhD,"Dr. Josias Ohms IV,PhD",Cis Woman,josias.ohms@pilog.com,Apt 423,7104 Johnson Park,Norwalk,,6854,United States,Uruguayan,22/05/2000,Separated,4,203-986-6329,253-03-4256,KgrWfe1wa,Recruiting Manager,898189,71912,,01GZ1HY1N4W70FD3J835S4TJQA,10/17/20,3/21/95,AE23 3075 9822 1306 9979 392,3.55E+15,jcb,0dDBzT8D
01GZ1HY1N5Z506EPJGKE1ACJ1H,,,,,MFA,"Prof. Garnette Copyn ,MFA",Genderqueer,garnette.copyn@pilog.com,Suite 39,346 Arapahoe Alley,Lexington,Kentucky,40546,United States,Chilean,8/3/83,Unknown,6,859-651-7853,730-54-8115,nkXBSXHjIEw,Graphic Designer,686375,54510,,01GZ1HY1N7V826HFFYB5AJ44G4,1/11/23,1/7/92,ES53 6006 0384 5093 8069 9794,2.02E+14,diners-club-enroute,EVeRBma
01GZ1HY1N8BED1013ZEPWH71NS,,,,II,DPT,"Mr. Curry Wetherald II,DPT",Trans Female,curry.wetherald@pilog.com,Suite 85,75 Cambridge Plaza,Fresno,,93721,United States,Cambodian,9/4/02,Engaged,2,559-825-5424,336-82-9611,cGQMTY,Research Associate,321122,46970,,01GZ1HY1NB6KHM4C7Q12GCANTK,3/5/22,5/30/09,GE89 PB68 3087 7536 0607 19,3.54E+15,jcb,XJyZBn9
01GZ1HY1NCZ73AS6F95RH4NC1F,,,,,,"Dr. Aguie Iron ,CPT",Transsexual Female,,,,,,27658,United States,Central American,26/08/1966,Separated,5,919-927-6031,210-67-4494,nLolvVMNMW,Project Manager,263497,,,01GZ1HY1NET4VF5884DJ3HNX2D,1/20/23,6/16/13,FR51 1511 2364 323J HZMM EQPB F27,4.94E+18,switch,dcDVA1zgpAl
01GZ1HY1NFEJ0C5NQTZRAF64FW,,,,IV,,"Mr. Saxe Heynen IV,DPT",Transgender Male,,,,,,33355,United States,Seminole,6/8/63,Single,4,754-923-5000,665-12-0136,RLCsGc,Senior Editor,178932,,,01GZ1HY1NHF14DKKV6ZWB35TZW,3/24/21,9/26/87,FR20 2277 2433 21EH GEHA 31NA K03,3.55E+15,jcb,G2fhUI
01GZ1HY1NHVE13QHW5H3SAF0VY,,,,,,"Mr. Karee Saint ,PharmD",FTM,,Suite 29,6 Spohn Way,,,83405,United States,Black or African American,1/2/07,Single,5,208-462-1007,641-61-1376,729fLW,Executive Secretary,692714,,,01GZ1HY1NMXZGA7DVAXBT3YSFR,2/1/21,8/27/98,NL61 HTLY 0803 5278 29,6.04E+14,maestro,JvVHtedzB
01GZ1HY1NMHVF1P68VW3R3BF7C,Dr.,,,,,"Dr. Patrica Jessup ,MFA",Transgender Male,patrica.jessup@pilog.com,Suite 27,38424 Twin Pines Parkway,Saint Louis,,63116,United States,Menominee,16/06/1960,Unknown,7,314-185-7706,496-45-7566,x0u1CA5jAAO,Pharmacist,23488,15699,,01GZ1HY1NQRF4PX7V4NJ5PBZPH,9/14/20,12/1/95,FR02 1962 7133 57IW 92BF Z7JT V52,4.51E+15,visa-electron,pAbgvuLHezC9
01GZ1HY1NR5Z58TF6RPGG7BZTK,,,,,,,,,Suite 28,3 Nova Alley,,,,United States,Crow,27/04/1999,Divorced,7,571-913-5576,308-50-4765,wzfQpevnLNY,Media Manager IV,298276,,,01GZ1HY1NS2QRH1JQVJ52D311J,4/11/20,11/5/18,CY90 6286 3348 WWRF 8CYW RBFP CJDK,2.01E+14,diners-club-enroute,YUHHUUJg
