customer_ID,prefix,first_name,last_name,generationalSuffix,suffixTitle,CompleteName,gender,email,Address1,Address2,city,state,zipcode,country,Race,Marrital_Status,Number_of_Children,Store_Membership_Card,Occupation,Annual_Income,Largest_Bill_Amount,Mean_Transaction_Amount,Transaction_ID,Last_Transaction,customer_Since,IntBankAccNo,CreditcardNo,CreditCard_type,password,DOB,mobile,ssn
01GZ1HY1MDYF1DF31PYTRFGAM7,Dr.,Ebony,Treneer,II,EdD,"Dr. Ebony Treneer II,EdD",Androgyne,,Apt 1420,218 Heffernan Hill,,,6726.0,United States,Panamanian,Separated,4,Vk5vdVav,Systems Administrator I,575017,,,01GZ1HY1MSNCARAEESBGGZPVA0,6/24/21,2/11/02,GB70 IDWQ 3595 8675 9760 62,4040000000000000.0,visa,prRtRAjIth,2006-05-31,,(908) 7755840
01GZ1HY1MV8PBTH9D67Q7MZDB6,Mr.,Ashley,Naper,,MFA,"Mr. Ashley Naper ,MFA",Transsexual Person,,,,,California,95813.0,United States,Mexican,Unknown,5,8wGrwvEN,Assistant Media Planner,792184,,,01GZ1HY1MX4APCMBGAVDB6TY8K,9/23/22,3/5/12,EE32 8732 5283 4033 8368,3550000000000000.0,jcb,WS5eXHK,1966-07-17,(777) 5226055,579-4871313
01GZ1HY1MYD1ZF54KTWVHMFFCY,,Josias,,IV,PhD,"Dr. Josias Ohms IV,PhD",Cis Woman,josias.ohms@pilog.com,Apt 423,7104 Johnson Park,Norwalk,,6854.0,United States,Uruguayan,Separated,4,KgrWfe1wa,Recruiting Manager,898189,71912.0,,01GZ1HY1N4W70FD3J835S4TJQA,10/17/20,3/21/95,AE23 3075 9822 1306 9979 392,3550000000000000.0,jcb,0dDBzT8D,2000-07-29,,138 055 1985
01GZ1HY1N5Z506EPJGKE1ACJ1H,,,,,MFA,"Prof. Garnette Copyn ,MFA",Genderqueer,garnette.copyn@pilog.com,Suite 39,346 Arapahoe Alley,Lexington,Kentucky,40546.0,United States,Chilean,Unknown,6,nkXBSXHjIEw,Graphic Designer,686375,54510.0,,01GZ1HY1N7V826HFFYB5AJ44G4,1/11/23,1/7/92,ES53 6006 0384 5093 8069 9794,202000000000000.0,diners-club-enroute,EVeRBma,1966-08-21,1+(824) 792-1758,(538) 975-8226
01GZ1HY1N8BED1013ZEPWH71NS,,,,II,DPT,"Mr. Curry Wetherald II,DPT",Trans Female,curry.wetherald@pilog.com,Suite 85,75 Cambridge Plaza,Fresno,,93721.0,United States,Cambodian,Engaged,2,cGQMTY,Research Associate,321122,46970.0,,01GZ1HY1NB6KHM4C7Q12GCANTK,3/5/22,5/30/09,GE89 PB68 3087 7536 0607 19,3540000000000000.0,jcb,XJyZBn9,2015-04-07,(116)9592589,(071)120-2361
01GZ1HY1NCZ73AS6F95RH4NC1F,,,,,,"Dr. Aguie Iron ,CPT",Transsexual Female,,,,,,27658.0,United States,Central American,Separated,5,nLolvVMNMW,Project Manager,263497,,,01GZ1HY1NET4VF5884DJ3HNX2D,1/20/23,6/16/13,FR51 1511 2364 323J HZMM EQPB F27,4.94e+18,switch,dcDVA1zgpAl,1979-05-04,,(827) 606-9129
01GZ1HY1NFEJ0C5NQTZRAF64FW,,,,IV,,"Mr. Saxe Heynen IV,DPT",Transgender Male,,,,,,33355.0,United States,Seminole,Single,4,RLCsGc,Senior Editor,178932,,,01GZ1HY1NHF14DKKV6ZWB35TZW,3/24/21,9/26/87,FR20 2277 2433 21EH GEHA 31NA K03,3550000000000000.0,jcb,G2fhUI,2013-04-22,,(860) 310-3450
01GZ1HY1NHVE13QHW5H3SAF0VY,,,,,,"Mr. Karee Saint ,PharmD",FTM,,Suite 29,6 Spohn Way,,,83405.0,United States,Black or African American,Single,5,729fLW,Executive Secretary,692714,,,01GZ1HY1NMXZGA7DVAXBT3YSFR,2/1/21,8/27/98,NL61 HTLY 0803 5278 29,604000000000000.0,maestro,JvVHtedzB,2006-06-16,144*705*9220,
01GZ1HY1NMHVF1P68VW3R3BF7C,Dr.,,,,,"Dr. Patrica Jessup ,MFA",Transgender Male,patrica.jessup@pilog.com,Suite 27,38424 Twin Pines Parkway,Saint Louis,,63116.0,United States,Menominee,Unknown,7,x0u1CA5jAAO,Pharmacist,23488,15699.0,,01GZ1HY1NQRF4PX7V4NJ5PBZPH,9/14/20,12/1/95,FR02 1962 7133 57IW 92BF Z7JT V52,4510000000000000.0,visa-electron,pAbgvuLHezC9,,,(288)894-5068
01GZ1HY1NR5Z58TF6RPGG7BZTK,,,,,,,,,Suite 28,3 Nova Alley,,,,United States,Crow,Divorced,7,wzfQpevnLNY,Media Manager IV,298276,,,01GZ1HY1NS2QRH1JQVJ52D311J,4/11/20,11/5/18,CY90 6286 3348 WWRF 8CYW RBFP CJDK,201000000000000.0,diners-club-enroute,YUHHUUJg,2018-05-21,625-163-6681,(500)141-0583
