customer_ID_Duplicate,prefix,first_name,last_name,generationalSuffix,suffixTitle,CompleteName,gender,email,Address1,Address2,city,state,zipcode,country,Race,Marrital_Status,Number_of_Children,Store_Membership_Card,Occupation,Annual_Income,Largest_Bill_Amount,Mean_Transaction_Amount,Transaction_ID,Last_Transaction,customer_Since,IntBankAccNo,CreditcardNo,CreditCard_type,password,DOB,mobile,ssn
01GY0YYXCXQT03DFJWBP4R43CB,Dr.,Ebay,Treneer,II,EdD,"Dr. Ebay Treneer II,EdD",Androgyne,Ebay.Treneer@pilog.com,Apartment 1420,218 Heffernan Hill crest,,,6726,United States,Panamanian,Separated,4,Vk5vdVav,Sys Admin I,575017,79073,32735.2,01GZ1HY1MSNCARAEESBGGZPVA0,6/24/21,2/11/02,GB70 IDWQ 3595 8675 9760 62,4.04E+15,visa,prRtRAjIth,1/11/60,(259) 438-4442,420-02-0702
01GY0YYXDE2H28GB8JKRW17F28,Mr.,Saw,Newland,,CPT,"Mr. Saw Newland ,CPT",Transsexual Woman,Saw.Newland@pilog.com,St 21,99 A Cir,kentuky,Ohio,45296,United States,Chickasaw,Separated,7,5TqkWjec2w1,Accountant,955847,87392,36966.4,01GZ1HY1NWBZTZZNSRK4PK4H8C,5/3/22,1/4/95,FR84 2515 8160 15IW TDQO WIKP C53,3.57E+15,jcb,2FoMdDtCqvH,11/23/75,(850) 958-8913,501-52-4287
01GY0YYXDMVNXH2QT7HHR4ATD4,Dr.,O,Woolford,Jr,CPT,"Dr. O Woolford Jr,CPT",Other,O.Woolford@pilog.com,,,Santa Fe,New Mexico,87505,United States,Pueblo,Engaged,8,ffmMpgtK3,Jr Exe,721335,76042,38552.8,01GZ1HY1P5W34YQX08GD9NS71W,8/29/22,6/23/02,FR57 5548 6390 52T9 JJ7D RUQ6 W13,3.59E+15,jcb,Xl9Eh2J5SWx,3/29/72,(073) 102-6049,514-53-3956
01GY0YYXDSM08225R9H64TRP9T,Prof.,C,Roberts,,Gen,"Prof. C Roberts ,Gen",Cisgender Woman,C.Roberts@pilog.com,Rm 875,8 Lerdahal Centre,Englewood,Canada,80150,United States,Alaskan Athabascan,Separated,2,lIGdnD,Project Mngr,102336,96524,56940.6,01GZ1HY1PGAGC0EV9JXMDDJV36,6/21/21,4/18/16,HR05 1266 9605 7794 2850 0,3.03E+13,diners-club-carte-blanche,4fbBjS,4/4/88,(132) 198-3538,826-42-3780
01GY0YYXDZQM64ANY2T5N652R7,Dr.,Md,Micheau,,MPhil,"Dr. Md Micheau ,MPhil",Androgyne,Md.Micheal@pilog.com,Rm 197,79458 Bul Crossing,Peoria,AZ,85383,United States,Cree,Single,4,8dNUeqOb,CE,525511,97965,40161.3,01GZ1HY1PPRBPEZN5YKNRHE38A,12/13/20,3/7/20,RS54 4280 1164 0710 7784 54,5.60E+16,china-unionpay,qsaNeF5cl,10/8/86,(245) 065-3540,074-89-0455
01GY0YYXE37WXYP20T328BAQ9G,Prof.,Aindreaus,Pyecroft,IV,BA,"Prof. Aindreaus Pyecroft IV,BA",Cis Man,Aindreaus.Pyecroft@pilog.com,Apartment 451,61 Davidson St,Clevelander,Ohio,44130,United States,Aleut,Married,3,9X8dl7,Operator,296011,98399,59774.2,01GZ1HY1Q3ZWB8GPB3PZN9XMBH,6/19/22,3/29/90,MU51 LPAH 5885 3879 5908 2470 945M JW,3.56E+15,jcb,5LFjkr,9/24/80,,751-29-9289
01GY0YYXE7HCAN29YSQK6Y5ZDD,Dr.,Christian,Orneles,III,PsyD,"Dr. Christian Orneles III,PsyD",Agender,Christian.Orneles@pilog.com,Apartmentt 98,48 Luster St,LA,CA,90050,United States,Crow,Divorced,10,OUN934JBmPO,Web Developer I,362747,87065,41633.2,01GZ1HY1Q9EAZB106531T24R0Q,5/25/22,3/4/14,BA93 5748 8405 7462 9617,5.60E+15,bankcard,nr5NGzF,7/18/79,,906-52-6882
01GY0YYXEAVYT0DJB27DPZ4JZY,Mr.,Ettitan,Kretschmmer,Jr,MFA,"Mr. Ettian Kretschmmer Jr,MFA",Agender,ettian.kretschmmer@pilog.com,1st Flr,9 Mccormick Cr,Dayton,Ohio,45440,United States,Ottawa,Single,7,6lCzFZcPE,Physical Assistant,582792,18775,36169.9,01GZ1HY1QPRKH49FX5MM7Q3ZR5,7/17/20,9/21/03,MR31 1058 7235 6054 9037 2661 117,6.76E+17,switch,Ydn1exlN,,(571) 065-4174,455-63-2390
01GY0YYXEDW826EH7QRVRSTFGT,Mr.,L,White,IV,Col,"Mr. L White IV,Col",Transgender Woman,L.White@pilog.com,,,Phoenix,AZ,85025,United States,Navajo,Divorced,4,Gxr3UbqH,Chief Design Engg,541437,84101,46358.8,01GZ1HY1QVPF29K6FA9RAQW8HJ,8/2/21,12/28/86,IE48 MJEV 1428 6645 3208 32,5.64E+18,switch,2gEUtZ,8/23/25,(445) 124-8760,389-45-4576
01GY0YYXEGM8NGZSJC1PX28A0E,Prof.,Corneal,Eastabrook,,MSW,"Prof. Corneal Eastabrook ,MSW",Androgyne,corneal.eastabrook@pilog.com,,,Miami,FL,33261,United States,Navajo,Engaged,4,mjxj7XMU,Internal Auditor,711768,54711,40172.4,01GZ1HY1R2K63D2FWSCQHHJJWX,11/4/20,2/6/98,BH89 RHIN MEJV M5MB MMMJ DA,3.59E+15,jcb,I9IIVmv,,(050) 307-2812,897-09-2352
01GY0YYXEMY3XQAT1EYS4HC510,Mr.,Browny,Chellam,,PhD,"Mr. Browny Chellam ,PhD",Trans Person,Browny.Chellam@pilog.com,PO Box 17175,986 SLogan Ave,Atlanta,Georgia,30351,United States,Choctaw,Engaged,2,kA0Osr1,VP Marketing,664728,83078,37911.6,01GZ1HY1RZEGHRY7N1TY77ZEVJ,11/17/22,1/21/01,FR14 5149 4101 64SU CQQ6 UHNY C93,3.54E+15,jcb,yd4zSS,10/15/13,,
